Job Title,Company,Location,Salary,Requirements,Date Posted,Remote,Link
Data Scientist (NLP) for a Product Based Edutech Company,Shaw Academy,"Bengaluru, Karnataka",N/A,"Prior experience in working with databases and fetch data from various data sources.
Should be able to work with unstructured data to figure out the patterns…",30+ days ago,Temporarily remote,https://in.indeed.com/cmp/Shaw-Academy
Data Scientist,Pion Global Pvt Ltd,"Bengaluru, Karnataka",N/A,"Machine learning, data science, deep learning.
Workmachine learning, data science , deep learning: 1 year (Required).
3 to 12 yr of experience.",4 days ago,Temporarily remote,https://in.indeed.com/company/Growth-gamut/jobs/Data-Scientist-ebc8dd7295a722ed?fccid=dc661951b717e721&vjs=3
Data Scientist,AceNet,"Bengaluru, Karnataka",N/A,Joining : Candidates who can join us immediately or should be able to join within 15 days please.,6 days ago, - ,https://in.indeed.com/rc/clk?jk=405169173c513dd2&fccid=b5849c457db886e9&vjs=3
Sr. Data Scientist,Qwickbit technologies pvt ltd,"Bengaluru, Karnataka","₹12,00,000 - ₹16,00,000 a year","\* Present information using data visualization techniques.
\* Undertake preprocessing of structured and unstructured data.
Job Types: Full-time, Contract.",18 days ago,Temporarily remote,https://in.indeed.com/company/Qwickbit-technologies-pvt-ltd/jobs/Senior-Data-Scientist-aecc9efbcb8923b7?fccid=d2659aabf9ba9123&vjs=3
Data Scientist DA4AD,Mercedes-Benz Research and Development India Priva...,"Bengaluru, Karnataka",N/A,"Experience with data visualisation tools like matplotlib, Tableau.
Experience with data visualisation tools like matplotlib, Tableau.",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=60d4983b398b7f41&fccid=33fa1494c1a3ee87&vjs=3
Senior Data Scientist,Shree Manpower Services,"Bengaluru, Karnataka","₹8,00,000 - ₹14,50,000 a year",">Possesses strong analytical/logical thinking and communication skills >Collaborate with the data warehousing team, ensuring that data infrastructure supports…",26 days ago, - ,https://in.indeed.com/company/Shree-Manpower-Services/jobs/Senior-Data-Scientist-e32f9307ad66d052?fccid=a7fe5c45c4548ab4&vjs=3
Data Scientist,Ericsson,"Bengaluru, Karnataka",N/A,"Proficiency in Python and knowledge of data management and ML tools like numpy, and pandas.
Ability to work with high volumes of data, identifying predictive…",3 days ago, - ,https://in.indeed.com/rc/clk?jk=8bc76ca59751747c&fccid=82656d64a9a3e6a7&vjs=3
Data Scientist,Meesho,"Bengaluru, Karnataka",N/A,From improving our product usability to identifying new growth opportunities data scientists help all teams within Meesho develop effective solutions.,17 days ago, - ,https://in.indeed.com/rc/clk?jk=eab17453b076522f&fccid=a07125726ff9e55d&vjs=3
Senior Data Scientist,[24]7.ai,"Bengaluru, Karnataka",N/A,"As a data scientist, you'd be working towards developing cutting edge products and solutions that are based on state of the art machine learning algorithms.",5 days ago, - ,https://in.indeed.com/rc/clk?jk=1f5bd3db09de3e78&fccid=8dd694db65727106&vjs=3
data science engineer,Proton Expert Systems & Solutions,"Bengaluru, Karnataka","₹15,000 - ₹20,000 a month","We are hiring data science engineer for our company.
Salary: ₹15,000.00 - ₹20,000.00 per month.
Total work: 1 year (Preferred).",28 days ago,Remote,https://in.indeed.com/company/Proton-Expert-Systems-&-Solutions/jobs/Data-Science-Engineer-d5fec081d8f05712?fccid=314a9313f85ea97b&vjs=3
Data Scientist II,Honeywell,"Bengaluru, Karnataka",N/A,"Design and implement architecture/tech stack for data integration, data flow and data storage for DL solutions.
A go-getter attitude with a drive for execution.",25 days ago, - ,https://in.indeed.com/rc/clk?jk=ffddedfd14de0363&fccid=50208b5bf45ee3b8&vjs=3
Data Scientist,Nutanix,"Bengaluru, Karnataka",N/A,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",4 days ago, - ,https://in.indeed.com/rc/clk?jk=0046fa6c57618ee4&fccid=dd7de5cf522ca5fc&vjs=3
Data Scientist- Computer Vision Scientist,[24]7.ai,"Bengaluru, Karnataka",N/A,The Computer Vision and Image Processing (CVIP) team of Data Science Group (DSG) develops scalable solutions involving images and videos in conversational space…,17 days ago, - ,https://in.indeed.com/rc/clk?jk=22df943206b38553&fccid=8dd694db65727106&vjs=3
Data Scientist,Pattern Effects Labs,"Bengaluru, Karnataka",N/A,"Understanding of data mining techniques and statistical analysis is important.
Candidate should be able to analyse data and discover information, with high…",30+ days ago, - ,https://in.indeed.com/rc/clk?jk=861f65548f248b9f&fccid=636b2f7c338b7ec9&vjs=3
