category,type,setup,delivery,flags,id,safe,lang,joke
Christmas,twopart,What's Santa's favourite type of music?,Wrap!,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",247,True,en,
Christmas,twopart,What kind of motorbike does Santa ride?,A Holly Davidson!,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",244,True,en,
Christmas,twopart,What do elves post on Social Media?,Elf-ies!,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",249,True,en,
Christmas,twopart,Why does Santa go down the chimney?,Because it soots him!,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",253,True,en,
Christmas,twopart,Why does Santa go down the chimney?,Because it soots him!,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",253,True,en,
Christmas,twopart,Why did Santa's helper see the doctor?,"Because he had a low ""elf"" esteem!","{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",243,True,en,
Christmas,twopart,Why couldn't the skeleton go to the Christmas party?,Because he had no body to go with!,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",252,True,en,
Christmas,twopart,Who hides in the bakery at Christmas?,A mince spy!,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",250,True,en,
Christmas,twopart,Who is Santa's favourite singer?,Elf-is Presley!,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",246,True,en,
Christmas,twopart,Why does Santa have three gardens?,So he can 'ho ho ho'!,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",242,True,en,
Christmas,twopart,What says Oh Oh Oh?,Santa walking backwards!,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",245,True,en,
Misc,twopart,How do construction workers party?,They raise the roof.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",217,True,en,
Misc,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",288,True,en,"A perfectionist walked into a bar... apparently, the bar was not set high enough."
Misc,twopart,This morning I accidentally made my coffee with Red Bull instead of water.,I was already on the highway when I noticed I forgot my car at home.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",146,True,en,
Misc,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",73,True,en,"A neutron walks into a bar and asks for a price on a drink.
The barkeeper says: ""For you... no charge!"""
Misc,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",257,True,en,"My wife and I have reached the difficult decision that we do not want children.
If anybody does, please just send me your contact details and we can drop them off tomorrow."
Misc,twopart,"My mother said, ""You won't amount to anything because you always procrastinate.""","I said, ""Oh yeah... Just you wait.""","{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",94,True,en,
Misc,twopart,I WRITE MY JOKES IN CAPITALS.,THIS ONE WAS WRITTEN IN PARIS.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",78,True,en,
Misc,twopart,What is the least spoken language in the world?,Sign language.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",76,True,en,
Misc,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",197,True,en,Schrödinger's cat walks into a bar and doesn't.
Misc,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",273,True,en,My husband and I were happy for 20 years. And then we met.
Misc,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",201,True,en,"My wife is really mad at the fact that I have no sense of direction.
So I packed up my stuff and right."
Programming,twopart,Why do programmers wear glasses?,Because they need to C#,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",50,True,en,
Programming,twopart,Why is Linux safe?,Hackers peak through Windows only.,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",260,True,en,
Programming,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",44,True,en,"Have a great weekend!
I hope your code behaves the same on Monday as it did on Friday."
Programming,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",33,True,en,"Today I learned that changing random stuff until your program works is ""hacky"" and a ""bad coding practice"" but if you do it fast enough it's ""Machine Learning"" and pays 4x your current salary."
Programming,single,,,"{'nsfw': False, 'religious': False, 'political': False, 'racist': False, 'sexist': False, 'explicit': False}",34,True,en,"Eight bytes walk into a bar.
The bartender asks, ""Can I get you anything?""
""Yeah,"" reply the bytes.
""Make us a double."""
