id,type,setup,punchline
1,general,What did the fish say when it hit the wall?,Dam.
2,general,How do you make a tissue dance?,You put a little boogie on it.
3,general,What's Forrest Gump's password?,1Forrest1
4,general,What do you call a belt made out of watches?,A waist of time.
5,general,Why can't bicycles stand on their own?,They are two tired
6,general,How does a train eat?,"It goes chew, chew"
7,general,What do you call a singing Laptop,A Dell
8,general,How many lips does a flower have?,Tulips
9,general,How do you organize an outer space party?,You planet
10,general,What kind of shoes does a thief wear?,Sneakers
11,general,What's the best time to go to the dentist?,Tooth hurty.
12,knock-knock,"Knock knock. 
 Who's there? 
 A broken pencil. 
 A broken pencil who?",Never mind. It's pointless.
13,knock-knock,"Knock knock. 
 Who's there? 
 Cows go. 
 Cows go who?","No, cows go moo."
14,knock-knock,"Knock knock. 
 Who's there? 
 Little old lady. 
 Little old lady who?",I didn't know you could yodel!
15,programming,What's the best thing about a Boolean?,"Even if you're wrong, you're only off by a bit."
16,programming,What's the object-oriented way to become wealthy?,Inheritance
17,programming,Where do programmers like to hangout?,The Foo Bar.
18,programming,Why did the programmer quit his job?,Because he didn't get arrays.
19,general,Did you hear about the two silk worms in a race?,It ended in a tie.
20,general,What do you call a laughing motorcycle?,A Yamahahahaha.
21,general,A termite walks into a bar and says...,'Where is the bar tended?'
22,general,What does C.S. Lewis keep at the back of his wardrobe?,Narnia business!
23,programming,Why do programmers always mix up Halloween and Christmas?,Because Oct 31 == Dec 25
24,programming,"A SQL query walks into a bar, walks up to two tables and asks...",'Can I join you?'
25,programming,How many programmers does it take to change a lightbulb?,None that's a hardware problem
26,programming,"If you put a million monkeys at a million keyboards, one of them will eventually write a Java program",the rest of them will write Perl
27,programming,"['hip', 'hip']",(hip hip array)
28,programming,To understand what recursion is...,You must first understand what recursion is
29,programming,There are 10 types of people in this world...,Those who understand binary and those who don't
30,general,What did the duck say when he bought lipstick?,Put it on my bill
31,general,What happens to a frog's car when it breaks down?,It gets toad away
32,general,did you know the first French fries weren't cooked in France?,they were cooked in Greece
33,programming,Which song would an exception sing?,Can't catch me - Avicii
34,knock-knock,"Knock knock. 
 Who's there? 
 Opportunity.",That is impossible. Opportunity doesn’t come knocking twice!
35,programming,Why do Java programmers wear glasses?,Because they don't C#
36,general,Why did the mushroom get invited to the party?,Because he was a fungi.
37,general,Why did the mushroom get invited to the party?,Because he was a fungi.
38,general,I'm reading a book about anti-gravity...,It's impossible to put down
39,general,"If you're American when you go into the bathroom, and American when you come out, what are you when you're in there?",European
40,general,Want to hear a joke about a piece of paper?,Never mind...it's tearable
41,general,I just watched a documentary about beavers.,It was the best dam show I ever saw
42,general,If you see a robbery at an Apple Store...,Does that make you an iWitness?
43,general,A ham sandwhich walks into a bar and orders a beer. The bartender says...,"I'm sorry, we don't serve food here"
44,general,Why did the Clydesdale give the pony a glass of water?,Because he was a little horse
45,general,If you boil a clown...,Do you get a laughing stock?
46,general,Finally realized why my plant sits around doing nothing all day...,He loves his pot.
47,general,Don't look at the eclipse through a colander.,You'll strain your eyes.
48,general,I bought some shoes from a drug dealer.,"I don't know what he laced them with, but I was tripping all day!"
49,general,Why do chicken coops only have two doors?,"Because if they had four, they would be chicken sedans"
50,general,What do you call a factory that sells passable products?,A satisfactory
51,general,When a dad drives past a graveyard: Did you know that's a popular cemetery?,"Yep, people are just dying to get in there"
52,general,Why did the invisible man turn down the job offer?,He couldn't see himself doing it
53,general,How do you make holy water?,You boil the hell out of it
54,general,I had a dream that I was a muffler last night.,I woke up exhausted!
55,general,Why is peter pan always flying?,Because he neverlands
56,programming,How do you check if a webpage is HTML5?,Try it out on Internet Explorer
57,general,What do you call a cow with no legs?,Ground beef!
58,general,I dropped a pear in my car this morning.,"You should drop another one, then you would have a pair."
59,general,Lady: How do I spread love in this cruel world?,Random Dude: [...💘]
60,programming,A user interface is like a joke.,If you have to explain it then it is not that good.
61,knock-knock,"Knock knock. 
 Who's there? 
 Hatch. 
 Hatch who?",Bless you!
62,general,What do you call sad coffee?,Despresso.
63,general,Why did the butcher work extra hours at the shop?,To make ends meat.
64,general,Did you hear about the hungry clock?,It went back four seconds.
65,general,Well...,That’s a deep subject.
66,general,Did you hear the story about the cheese that saved the world?,It was legend dairy.
67,general,Did you watch the new comic book movie?,It was very graphic!
68,general,I started a new business making yachts in my attic this year...,The sails are going through the roof.
69,general,"I got hit in the head by a soda can, but it didn't hurt that much...",It was a soft drink.
70,general,I can't tell if i like this blender...,It keeps giving me mixed results.
71,general,I couldn't get a reservation at the library...,They were fully booked.
72,programming,I was gonna tell you a joke about UDP...,...but you might not get it.
73,programming,The punchline often arrives before the set-up.,Do you know the problem with UDP jokes?
74,programming,Why do C# and Java developers keep breaking their keyboards?,Because they use a strongly typed language.
75,general,What do you give to a lemon in need?,Lemonaid.
76,general,Never take advice from electrons.,They are always negative.
78,general,"Hey, dad, did you get a haircut?","No, I got them all cut."
79,general,What time is it?,I don't know... it keeps changing.
80,general,"A weasel walks into a bar. The bartender says, ""Wow, I've never served a weasel before. What can I get for you?""","Pop,goes the weasel."
81,general,Bad at golf?,Join the club.
82,general,Can a kangaroo jump higher than the Empire State Building?,Of course. The Empire State Building can't jump.
83,general,Can February march?,"No, but April may."
84,general,Can I watch the TV?,"Yes, but don’t turn it on."
85,general,"Dad, can you put my shoes on?",I don't think they'll fit me.
86,general,Did you hear about the bread factory burning down?,They say the business is toast.
87,general,Did you hear about the chameleon who couldn't change color?,They had a reptile dysfunction.
88,general,Did you hear about the cheese factory that exploded in France?,There was nothing left but de Brie.
89,general,Did you hear about the cow who jumped over the barbed wire fence?,It was udder destruction.
90,general,Did you hear about the guy who invented Lifesavers?,They say he made a mint.
91,general,Did you hear about the guy whose whole left side was cut off?,He's all right now.
92,general,Did you hear about the kidnapping at school?,"It's ok, he woke up."
93,general,Did you hear about the Mexican train killer?,He had loco motives
94,general,Did you hear about the new restaurant on the moon?,"The food is great, but there’s just no atmosphere."
95,general,Did you hear about the runner who was criticized?,He just took it in stride
96,general,Did you hear about the scientist who was lab partners with a pot of boiling water?,He had a very esteemed colleague.
97,general,Did you hear about the submarine industry?,It really took a dive...
98,general,Did you hear that David lost his ID in prague?,Now we just have to call him Dav.
99,general,Did you hear that the police have a warrant out on a midget psychic ripping people off?,"It reads ""Small medium at large."""
100,general,Did you hear the joke about the wandering nun?,She was a roman catholic.
101,general,Did you hear the news?,FedEx and UPS are merging. They’re going to go by the name Fed-Up from now on.
102,general,Did you hear the one about the guy with the broken hearing aid?,Neither did he.
