Stay Name,Stay Type,Stay Size,Amenities,Price,Rating,num of reviews,link
Apartment bathed in Sunshine 3 - TLBW Group,Entire apartment in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Kitchen - Wifi,"Rs.1,064",4.83,6,https://www.airbnb.co.in/rooms/45736129?previous_page_section_name=1000&federated_search_id=e1d567b1-0e59-4284-a77e-22b57a4dbe0d
"Maison de ZEN 1,  For Serenity, Bliss & Relaxation",Entire flat in Bengaluru,4 guests - 2 bedrooms - 2 beds - 2 bathrooms,Kitchen - Wifi - Free parking,"Rs.1,305",4.88,8,https://www.airbnb.co.in/rooms/25036368?previous_page_section_name=1000&federated_search_id=e1d567b1-0e59-4284-a77e-22b57a4dbe0d
Luxurious Room With Private Balcony & Bathtub,Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Kitchen - Wifi - Self check-in - Free parking,"Rs.1,056",4.36,14,https://www.airbnb.co.in/rooms/39734715?previous_page_section_name=1000&federated_search_id=e1d567b1-0e59-4284-a77e-22b57a4dbe0d
PrivateStudio/AC-WIFI-Private Kitchen Nr. Manyata!,Entire flat in Bengaluru,4 guests - 1 bedroom - 2 beds - 1 bathroom,Kitchen - Wifi - Self check-in - Free parking,"Rs.1,001",4.76,33,https://www.airbnb.co.in/rooms/23446620?previous_page_section_name=1000&federated_search_id=e1d567b1-0e59-4284-a77e-22b57a4dbe0d
cozy studio room with kitchen and wifi,Entire house in Bengaluru,3 guests - Studio - 1 bed - 1 bathroom,Kitchen - Wifi - Self check-in - Free parking,Rs.850,4.83,6,https://www.airbnb.co.in/rooms/45835115?previous_page_section_name=1000&federated_search_id=e1d567b1-0e59-4284-a77e-22b57a4dbe0d
⚡COUPLE FRIENDLY BALI THEMED STAY,Entire flat in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 bathroom,Wifi - Self check-in,Rs.928,4.08,71,https://www.airbnb.co.in/rooms/31917901?previous_page_section_name=1000&federated_search_id=e1d567b1-0e59-4284-a77e-22b57a4dbe0d
"Californian Nest ""DOWNTOWN"" Close to MG Road",Private room in Bengaluru,2 guests - 1 bedroom - 1 bed - 1 private bathroom,Kitchen - Wifi - Self check-in,Rs.799,4.85,86,https://www.airbnb.co.in/rooms/24360273?previous_page_section_name=1000&federated_search_id=e1d567b1-0e59-4284-a77e-22b57a4dbe0d
❤️ Beautiful Entire House ( Couple Friendly ),Entire house in Bengaluru,4 guests - 1 bedroom - 1 bed - 1 bathroom,Kitchen - Wifi - Free parking,"Rs.1,313",4.80,60,https://www.airbnb.co.in/rooms/37369087?previous_page_section_name=1000&federated_search_id=e1d567b1-0e59-4284-a77e-22b57a4dbe0d
"Maison de ZEN 4, For Serenity, Bliss & Relaxation",Entire flat in Bengaluru,4 guests - 2 bedrooms - 2 beds - 2 bathrooms,Kitchen - Wifi - Self check-in,"Rs.1,200",4.82,17,https://www.airbnb.co.in/rooms/40337180?previous_page_section_name=1000&federated_search_id=e1d567b1-0e59-4284-a77e-22b57a4dbe0d
Exclusive cosy penthouse with a private terrace,Entire flat in Bengaluru,3 guests - 1 bedroom - 1 bed - 1.5 bathrooms,Kitchen - Wifi - Self check-in - Free parking,"Rs.2,129",4.92,25,https://www.airbnb.co.in/rooms/38928254?previous_page_section_name=1000&federated_search_id=e1d567b1-0e59-4284-a77e-22b57a4dbe0d
