Car name,Description,Mileage,Price,Colour,Link
2020 Ford Escape,Titanium Hybrid 4WD  - Leather Seats,10KM,"$38,598",Magnetic,https://www.carpages.ca/new-cars/saskatchewan/kindersley/2020-ford-escape-6281694/
2021 Toyota Sienna,HYBRID LIMITED AWD 7,CALL,"$60,608",Midnight Black Metallic,https://www.carpages.ca/new-cars/manitoba/steinbach/2021-toyota-sienna-6280206/
2021 Lexus RX 450h,F SPORT SERIES 3,90KM,"$75,422",Ultra White,https://www.carpages.ca/new-cars/alberta/edmonton/2021-lexus-rx-450h-6279195/
2021 Lexus RX 450h,F SPORT SERIES 3,90KM,"$75,422",Atomic Silver,https://www.carpages.ca/new-cars/alberta/edmonton/2021-lexus-rx-450h-6279192/
2021 Lexus RX 450h,Executive Package,90KM,"$75,422",Nightfall Mica,https://www.carpages.ca/new-cars/alberta/edmonton/2021-lexus-rx-450h-6279168/
2021 Lexus RX 450h,Luxury Package,90KM,"$69,272",Atomic Silver,https://www.carpages.ca/new-cars/alberta/edmonton/2021-lexus-rx-450h-6279162/
2019 Toyota Camry,"Hybrid LE  Navigation, Heated Seats, Apple CarPlay, Lane Departure Alert, Pre Collision System, Voice Recognition, Bluetooth, Adaptive Crui","46,760KM","$29,364",White,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2019-toyota-camry-6278793/
2021 Ford F-150,XLT,16KM,"$59,289",Agate Black Metallic,https://www.carpages.ca/new-cars/manitoba/brandon/2021-ford-f-150-6278532/
2020 Hyundai IONIQ,Electric EV ULTIMATE + GARANTIE + NAVI +12 258 KM,"12,258KM","$30,989",Blanc,https://www.carpages.ca/used-cars/quebec/drummondville/2020-hyundai-ioniq-6277701/
2020 Toyota Prius,Prime Groupe amélioré - Comme neuf!!,10KM,"$30,759",Gris,https://www.carpages.ca/used-cars/quebec/quebec/2020-toyota-prius-6277575/
2020 Toyota Prius,Prime Groupe Tech - Hybride Rechargeable,500KM,"$33,759",Bleu,https://www.carpages.ca/used-cars/quebec/quebec/2020-toyota-prius-6277572/
2017 Lincoln MKZ,Select Hybrid,"91,768KM","$24,888",White Platinum Met. Tricoat,https://www.carpages.ca/used-cars/ontario/tilbury/2017-lincoln-mkz-6275511/
2020 Mitsubishi Outlander,Phev GT S-AWC,"8,000KM","$39,900",Black,https://www.carpages.ca/used-cars/ontario/mississauga/2020-mitsubishi-outlander-6274581/
2020 Mitsubishi Outlander,Phev GT S-AWC,"9,000KM","$39,900",Black,https://www.carpages.ca/used-cars/ontario/mississauga/2020-mitsubishi-outlander-6274578/
2018 Chevrolet Volt,LT|NO ACCIDENTS|ONE OWNER|CAMERA|BLUETOOTH,"57,604KM","$24,309",White,https://www.carpages.ca/used-cars/ontario/mississauga/2018-chevrolet-volt-6274572/
2020 Hyundai IONIQ,Electric Plus Ultimate  - Sunroof - $243 B/W,CALL,"$39,061",Space Black Prl,https://www.carpages.ca/new-cars/ontario/nepean/2020-hyundai-ioniq-6274134/
2017 Toyota Camry,SE|HYBRID|CAMERA|TOUCHSCREEN|HEATED SEATS|ALLOYS|SUEDE SEATS,"57,304KM","$24,795",White,https://www.carpages.ca/used-cars/ontario/kitchener/2017-toyota-camry-6273942/
2020 Ford Escape,Titanium Hybrid,CALL,"$40,299",blue metallic,https://www.carpages.ca/new-cars/manitoba/winnipeg/2020-ford-escape-6273660/
2021 Ford Explorer,LIMITED,CALL,"$58,798",Black,https://www.carpages.ca/new-cars/ontario/niagara-falls/2021-ford-explorer-6273234/
2018 Ford Fusion,PLATINUM,"64,933KM","$21,089",SHADOW BLACK,https://www.carpages.ca/used-cars/ontario/mississauga/2018-ford-fusion-6273216/
2018 Kia Soul,EV* GPS* CAMERA* SIEGES CHAUFFANTS*,"90,851KM","$17,968",Noir,https://www.carpages.ca/used-cars/quebec/quebec/2018-kia-soul-6273009/
2018 Kia Soul,EV GPS* CAMERA* SIEGES CHAUFFANTS*,"90,851KM","$17,968",Noir,https://www.carpages.ca/used-cars/quebec/quebec/2018-kia-soul-6272970/
2018 Ford Fusion,Energi TITANIUM | ELECTRIC | LEATHER | ROOF | NAV,"63,358KM","$20,888",White,https://www.carpages.ca/used-cars/ontario/brantford/2018-ford-fusion-6272343/
2016 Toyota RAV4,AWD XLE HYBIRD,"95,680KM","$23,995",White,https://www.carpages.ca/used-cars/ontario/elmvale/2016-toyota-rav4-6271449/
2018 Lexus RX,RX 450hL,"32,000KM","$57,888",White,https://www.carpages.ca/used-cars/ontario/toronto/2018-lexus-rx-6271431/
2015 Nissan Leaf,SL,"62,226KM","$16,818",Black,https://www.carpages.ca/used-cars/british-columbia/duncan/2015-nissan-leaf-6271188/
2020 Ford Escape,Titanium Hybrid,"2,900KM","$36,000",Green,https://www.carpages.ca/used-cars/ontario/harriston/2020-ford-escape-6270717/
2021 Kia Soul,EV EV Limited,10KM,"$54,123",Onyx,https://www.carpages.ca/new-cars/british-columbia/courtenay/2021-kia-soul-6269985/
2021 Kia Soul,EV EV Premium,10KM,"$45,123",Onyx,https://www.carpages.ca/new-cars/british-columbia/courtenay/2021-kia-soul-6269988/
2020 Hyundai Ioniq Hybrid,Essential  - $166 B/W,CALL,"$26,289",Fiery Red,https://www.carpages.ca/new-cars/ontario/kanata/2020-hyundai-ioniq-hybrid-6269973/
2021 Toyota Highlander,Hybrid Limited  - Leather Seats - $431 B/W,25KM,"$56,075",Blizzard Pearl,https://www.carpages.ca/new-cars/ontario/simcoe/2021-toyota-highlander-6269055/
2021 Toyota RAV4,Hybrid Limited  - Leather Seats - $345 B/W,25KM,"$44,920",Midnight Black Metallic,https://www.carpages.ca/new-cars/ontario/simcoe/2021-toyota-rav4-6269052/
2017 Chrysler Pacifica,Hybrid Platinum Rear Vision Camera | Wireless Phone Charger | Heated Front Seats,"22,245KM","$37,995",Red,https://www.carpages.ca/used-cars/ontario/listowel/2017-chrysler-pacifica-6269013/
2021 Jeep Wrangler,80th Anniversary,15KM,"$52,211",HELLAYELLA,https://www.carpages.ca/new-cars/ontario/bolton/2021-jeep-wrangler-6268233/
2020 Chevrolet Bolt,EV LT  - SIriusXM,CALL,"$48,166",Black Meet Kett,https://www.carpages.ca/new-cars/ontario/orleans/2020-chevrolet-bolt-6267783/
2020 Ford Escape,Titanium Hybrid,60KM,"$43,528",blue metallic,https://www.carpages.ca/new-cars/ontario/new-hamburg/2020-ford-escape-6267774/
2018 Ford F-150,XLT,"30,176KM","$24,999",,https://www.carpages.ca/used-cars/ontario/oakville/2018-ford-f-150-6267669/
2021 Hyundai KONA,Electric Ultimate,CALL,"$55,939",Chalk Wht,https://www.carpages.ca/new-cars/ontario/kanata/2021-hyundai-kona-6267480/
2019 Tesla Model 3,Standard Range Look What We Have,"11,112KM","$47,991",Grey,https://www.carpages.ca/used-cars/manitoba/winnipeg/2019-tesla-model-3-6266418/
2019 Ford Fusion Hybrid,Titanium,"54,902KM","$19,880",Silver,https://www.carpages.ca/used-cars/ontario/north-york/2019-ford-fusion-hybrid-6265995/
2019 Ford Fusion Hybrid,SEL,"68,789KM","$18,880",Silver,https://www.carpages.ca/used-cars/ontario/north-york/2019-ford-fusion-hybrid-6265989/
2020 Hyundai Ioniq Hybrid,Essential  - Heated Seats - $154 B/W,7KM,"$25,124",Polar White,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2020-hyundai-ioniq-hybrid-6265236/
