Product name,Description,Colours,Price,Sale Price,Discount,Product Link
Nike Downshifter 10,Men's Running Shoe,1 Colour,"₹3,995","₹3,597",10%,https://www.nike.com/in/t/downshifter-10-running-shoe-CrpbbD/CI9981-007
Nike 50 Tech Fleece,Men's Jacket,1 Colour,"₹6,995","₹5,597",20%,https://www.nike.com/in/t/50-tech-fleece-jacket-jm3s9s/CJ4501-902
NikeCourt Blanc,Women's Shoe,2 Colours,"₹5,995","₹4,797",20%,https://www.nike.com/in/t/nikecourt-blanc-shoe-lKw62P/CI0808-102
Jordan Zoom Trunner Ultimate,Running Shoe,1 Colour,"₹12,995","₹10,397",20%,https://www.nike.com/in/t/jordan-zoom-trunner-ultimate-running-shoe-m4qD81/CJ1495-101
Nike Joyride Dual Run,Men's Running Shoe,5 Colours,"₹10,995","₹7,697",30%,https://www.nike.com/in/t/joyride-dual-run-running-shoe-l272g9/CD4365-401
Nike Odyssey React,Women's Running Shoe,1 Colour,"₹11,995","₹9,597",20%,https://www.nike.com/in/t/odyssey-react-running-shoe-WwvnkS/AO9820-403
Jordan 23 Engineered,Men's Nylon Trousers,1 Colour,"₹5,995","₹4,797",20%,https://www.nike.com/in/t/jordan-23-engineered-nylon-trousers-qPGfvN/CN4580-446
Nike Air Zoom Winflo 7,Women's Running Shoe,1 Colour,"₹7,995","₹6,397",20%,https://www.nike.com/in/t/air-zoom-wio-7-running-shoe-gHLjtw/CJ0302-003
Nike Sportswear,Older Kids' (Girls') Crew,1 Colour,"₹2,695","₹2,157",20%,https://www.nike.com/in/t/sportswear-older-crew-ZxQGCT/CK2775-085
Nike Air Max 90,Men's Shoe,3 Colours,"₹9,995","₹6,997",30%,https://www.nike.com/in/t/air-max-90-shoe-mNsXT4/CT4352-100
Nike Benassi JDI,Men's Slide,2 Colours,"₹2,495","₹1,997",20%,https://www.nike.com/in/t/benassi-jdi-slide-1qTb7loE/343880-032
Nike Tanjun,Men's Shoe,2 Colours,"₹4,795","₹3,357",30%,https://www.nike.com/in/t/tanjun-shoe-v2TE01RG/812654-414
Kyrie 6 EP,Basketball Shoe,3 Colours,"₹10,995","₹7,697",30%,https://www.nike.com/in/t/kyrie-6-ep-basketball-shoe-0tRPJ4/BQ4631-004
Nike Sportswear Tech Fleece,Men's Joggers,1 Colour,"₹5,495","₹3,847",30%,https://www.nike.com/in/t/sportswear-tech-fleece-joggers-KyTww3X2/805163-010
KD Trey 5 VIII EP,Basketball Shoe,2 Colours,"₹7,995","₹6,397",20%,https://www.nike.com/in/t/kd-trey-5-viii-ep-basketball-shoe-k4bhfx/CK2089-001
Nike ACG React Terra Gobe,Men's Shoe,2 Colours,"₹12,995","₹7,797",40%,https://www.nike.com/in/t/acg-react-terra-gobe-shoe-dPNBmz/BV6344-701
Nike Air Max 90,Women's Shoe,1 Colour,"₹9,995","₹6,997",30%,https://www.nike.com/in/t/air-max-90-shoe-n0nRmX/CT1030-100
Nike Sportswear JDI,Men's Woven Jacket,2 Colours,"₹4,995","₹3,997",20%,https://www.nike.com/in/t/sportswear-jdi-woven-jacket-qZRHtH/CQ8924-010
Nike Cortez Basic SL SE,Older Kids' Shoe,1 Colour,"₹6,495","₹5,197",20%,https://www.nike.com/in/t/cortez-basic-sl-se-older-shoe-DwPGc9/CJ2421-400
Nike Sportswear,Older Kids' (Girls') Shorts,1 Colour,"₹1,695","₹1,357",20%,https://www.nike.com/in/t/sportswear-older-shorts-qxgzqR/CK2767-085
LeBron 17,Basketball Shoe,3 Colours,"₹16,995","₹13,597",20%,https://www.nike.com/in/t/lebron-17-basketball-shoe-JqmdXg/BQ3177-100
Korea 2020 Stadium Home,Men's Football Shirt,1 Colour,"₹4,695","₹3,757",20%,https://www.nike.com/in/t/korea-2020-stadium-home-football-shirt-dc1DkS/CD0714-653
Nike Air Max 270 Special Edition,Shoe,2 Colours,"₹14,995","₹7,497",50%,https://www.nike.com/in/t/air-max-270-special-edition-shoe-p6kvPJ/CQ6549-001
Nike Air Max 98,Women's Shoe,1 Colour,"₹16,995","₹13,597",20%,https://www.nike.com/in/t/air-max-98-shoe-lFP060/CI3709-102
Nike Air Max Verona,Women's Shoe,1 Colour,"₹9,995","₹6,997",30%,https://www.nike.com/in/t/air-max-verona-shoe-BN7zWH/CZ6156-101
Nike Air Max 2090,Men's Shoe,4 Colours,"₹11,995","₹8,397",30%,https://www.nike.com/in/t/air-max-2090-shoe-cJ657M/BV9977-002
Nike Air Max 2090,Men's Shoe,1 Colour,"₹13,995","₹9,797",30%,https://www.nike.com/in/t/air-max-2090-shoe-mVrb8x/CU9174-600
Nike MX-720-818,Younger/Older Kids' Shoe,1 Colour,"₹11,995","₹7,197",40%,https://www.nike.com/in/t/mx-720-818-younger-older-shoe-R9rZBX/CQ4010-001
Nike Pro Flex Repel,Men's Shorts,1 Colour,"₹3,695","₹2,957",20%,https://www.nike.com/in/t/pro-flex-repel-shorts-P1cpmd/CD4318-010
Nike Renew Rival,Women's Running Shoe,1 Colour,"₹7,295","₹5,837",20%,https://www.nike.com/in/t/renew-rival-running-shoe-fWrDlk/AA7411-001
Nike Air Max Verona,Women's Shoe,2 Colours,"₹9,995","₹6,997",30%,https://www.nike.com/in/t/air-max-verona-shoe-t0PMzF/CI9842-001
